Glubina manometra;Dsht;Rzab;Rzab.1;Tzab;Tlin;Debit gaza;Debit st. kond.;Debit vody;Debit smesi;Debit gaaz;Debit kon nestabil'nyj;Debit vody.1;Rpl. Tek (posled tochka na KVD);Psb;Udel'naya plotnost' gaza ;G_total;KGF
3478.5;11.11;342;335.4;106.48;40.52;448.2;79.32;5.45;462.62;4002.5;122.7;5.6;39.49;87.9;0.67;;138
-;12.7;-;-;-;48.37;479.1;80.9;0.7;492.6;4109;416;0.7;-;93;0.67;;131
3640.5;6.35;403;404.8;104;22.45;182.45;49.43;0.32;191.76;1239.4;80;0.3;42.86;102.4;0.68;;212
3640.5;9.53;396.6;397.3;107.07;36.27;383.72;93.85;0.45;401.39;2827.3;151.9;0.4;42.86;97;0.68;;194
3640.5;11.11;390;390.1;105;42.72;498.6;117.47;1.11;520.72;3817.5;185.2;1.1;42.86;103.7;0.68;;187
3640.5;12.7;384.4;381.3;104.9;47.99;612.21;139.53;0.65;638.48;4835;222.6;0.7;42.86;103.8;0.68;;180
3667;7.94;362.8;362.9;105.54;26.44;243.22;61.33;1.37;255.25;1924.9;101.5;1.3;39.02;93.1;0.67;;198
3667;9.53;359.3;359.3;105.57;33.69;353.22;77.99;3.5;366.86;2856.2;123.1;3.5;39.02;92.8;0.67;;174
3667;11.11;354;354;105.56;39.67;451.48;98.2;3.89;468.66;3766.5;154;3.9;39.02;94.8;0.67;;171
3667;12.7;348.1;348.1;105.51;44.07;537.87;113.09;5.19;557.65;4529.6;176.6;5.3;39.02;95.2;0.67;;165
3667;14.29;340;340;105.44;48.17;653.03;134.34;6.58;676.53;5557.8;206;6.6;39.02;96;0.67;;162
3670;12.7;336.3;333.1;105.04;44.74;503.75;134.48;6.66;528.67;4152;195.9;6.7;37.19;95.8;0.67;;140
3668.5;9.53;340;339.8;104.85;33.51;338.63;66.59;1.39;350.55;2868.6;105.2;1.4;36.75;88.8;0.66;;154
3668.5;11.11;334;331.7;104.83;39.29;432.74;77.91;2.02;445.72;3773;122.8;2;36.75;88.1;0.66;;141
3668.5;12.7;326;324;104.74;42.91;514.1;91.24;2.8;528.93;4590.3;142.1;2.7;36.75;88.8;0.66;;139
3668.5;14.29;318;312.5;104.64;46.72;608.78;102.94;3.23;625.49;5452.4;161.1;3.3;36.75;88.9;0.66;;132
3424.5;6.35;316.1;316.2;106.2;23.66;128.37;39.74;0.6;136.82;884;68.9;0.5;37.21;101.8;0.65;;241
3424.5;9.53;281.5;275.9;106.4;36.56;244.58;67.58;1.4;259.2;1867;120.4;1.4;37.21;103.6;0.65;;216
3424.5;11.11;257.9;258;106.47;42.63;295.81;71.29;2.18;311.24;2445;123.9;2.3;37.21;102.6;0.65;;191
3424.5;12.7;236.5;237.8;106.4;48.02;330.5;74.59;2.5;346.64;2869;126.4;2.6;37.21;103.9;0.65;;177
3424.5;14.3;221.2;221.3;106.7;50.58;346.7;73.12;2.55;362.52;3112;121.4;2.6;37.21;104;0.65;;164
3437;7.5;305.56;305.6;106.5;25.9;162.15;45.4;0.6;172.04;1168;79;0.5;36.46;99.8;0.68;;219
3437;7.94;298.69;298.7;106.6;28.5;189.82;52.8;1;201.32;1401;93.1;1;36.46;99.8;0.68;;218
3437;9.53;278.23;278.2;106.6;36.3;250.43;63.9;1.5;264.35;1996;110.8;1.6;36.46;100.1;0.68;;200
3437;11.11;256.21;256.2;106.5;41;305.59;63;1.7;319.31;2545;115.5;1.9;36.46;100.1;0.68;;161
3437;12.7;234.19;234.2;106.4;46.2;344.29;69;0.9;359.32;3043;113.2;1;36.46;100.3;0.68;;157
3437;14.29;216.9;216.8;106.43;49.7;360.23;71.1;0.8;375.72;3320;116.8;0.8;36.46;100.7;0.68;;154
3440;7.94;174;174;102.55;25.94;145.68;33.94;0.24;154.32;1187;60.9;0.2;29.17;90;0.57;;180
3440;7.94;228.46;229.1;102.51;25.81;145.72;33.63;0.24;154.29;1168;60.1;0.2;29.17;90.4;0.57;;178
3440;7.94;228.1;231.4;102.07;26.24;144.77;33.85;0.24;153.39;1172;59.8;0.2;29.17;90.7;0.57;;180
